"",latency-Q3,cnt-Q3,server-memory,client-memory,server-cpu,client-cpu,compl-Q3
1,13325.48,5.078125,85.37952188345102,0.0,105.9846153846154,0.0,0.9259259
2,31038.166666666668,16.46875,87.33135604858398,0.0,110.91666666666667,0.0,0.94545454
3,NaN,16.46875,88.28089586893718,0.0,109.03333333333335,0.0,0.94545454
4,NaN,16.46875,88.44924481709798,0.0,108.70833333333336,0.0,0.94545454
5,103284.04605263157,106.71875,90.95450274149577,0.0,110.25,0.0,0.89510494
6,NaN,106.71875,95.8165283203125,0.0,109.80000000000001,0.0,0.89510494
7,NaN,106.71875,95.63222757975261,0.0,108.60000000000001,0.0,0.89510494
8,NaN,106.71875,96.31895891825359,0.0,108.47500000000001,0.0,0.89510494
9,NaN,106.71875,96.91913096110027,0.0,109.3,0.0,0.89510494
10,NaN,106.71875,97.27704429626465,0.0,108.58333333333336,0.0,0.89510494
11,NaN,106.71875,96.88598759969075,0.0,108.51666666666664,0.0,0.89510494
12,NaN,106.71875,97.32433764139812,0.0,108.88333333333334,0.0,0.89510494
13,NaN,106.71875,97.00445048014323,0.0,108.66666666666667,0.0,0.89510494
14,NaN,106.71875,97.21464920043945,0.0,108.94999999999999,0.0,0.89510494
15,NaN,106.71875,99.26891708374023,0.0,107.90833333333332,0.0,0.89510494
16,NaN,106.71875,100.93609619140625,0.0,108.6,0.0,0.89510494
