"",latency-Q1,cnt-Q1,server-memory,client-memory,server-cpu,client-cpu,compl-Q1
1,2927.0,0.4375,80.24351908365885,0.0,94.27333333333331,0.0,0.85714287
2,4278.714285714285,0.96875,82.63928095499675,0.0,111.85000000000001,0.0,0.92857146
3,4051.0833333333335,1.40625,82.51467577616374,0.0,110.78333333333335,0.0,0.95
4,4162.583333333333,1.90625,82.8248176574707,0.0,110.91666666666667,0.0,0.9615385
5,4337.333333333333,2.34375,83.25173060099284,0.0,110.48333333333333,0.0,0.96874994
6,4540.416666666667,2.84375,83.06187566121419,0.0,110.73333333333333,0.0,0.9736842
7,4664.583333333333,3.28125,81.88901901245117,0.0,109.62500000000001,0.0,0.97727275
8,4722.75,3.78125,81.72506904602051,0.0,110.08333333333331,0.0,0.97999996
9,4640.666666666667,4.21875,82.60583623250325,0.0,110.36666666666667,0.0,0.9821428
10,4124.857142857143,4.8125,82.16794077555339,0.0,110.56666666666666,0.0,0.984127
11,5137.2,5.15625,84.31255785624187,0.0,110.51666666666667,0.0,0.9852941
12,3972.1428571428573,5.75,83.84735043843587,0.0,110.55,0.0,0.9866667
13,4990.9,6.09375,83.74450620015462,0.0,110.79166666666667,0.0,0.9875
14,4084.285714285714,6.6875,83.06617800394694,0.0,109.63333333333334,0.0,0.9885058
15,5320.25,7.125,84.15422121683757,0.0,110.10000000000001,0.0,0.9892473
16,2670.0,7.3125,82.92401885986328,0.0,110.85,0.0,0.9894737
